Designator,Mid X,Mid Y,Rotation,Layer
C1,43.076427,75.328427,270.0,bottom
C2,40.076427,75.328427,270.0,bottom
C3,43.076427,66.328427,270.0,bottom
D1,46.328427,60.748427,90.0,bottom
D2,56.828427,101.828427,180.0,bottom
H1,39.828427,101.525483,0.0,top
H2,59.828427,3.828427,0.0,top
H3,3.828427,3.828427,0.0,top
H4,3.828427,109.828427,0.0,top
H5,59.828427,109.828427,0.0,top
J1,17.828427,91.828427,0.0,top
J2,46.828427,22.368427,0.0,top
J3,17.828427,63.828427,0.0,top
J4,17.828427,35.828427,0.0,top
J5,50.828427,68.328427,270.0,bottom
R1,52.328427,96.328427,90.0,bottom
RL1,59.328427,87.828427,0.0,bottom
RL2,59.328427,48.828427,0.0,bottom
